2021-12-15 19:56:56,473:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.095695; hr_one = 0.095695; ndcg_one = 0.042798
2021-12-15 19:57:02,713:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.095695; hr_one = 0.095695; ndcg_one = 0.042798
2021-12-15 19:57:05,774:INFO: model = topk_10_itemcf_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.002618; recall_one = 0.518543; hr_one = 0.518543; ndcg_one = 0.304311
2021-12-15 19:57:07,111:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.095695; hr_one = 0.095695; ndcg_one = 0.042798
2021-12-15 19:57:09,205:INFO: model = topk_10_mfg_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.015377; recall_one = 0.326987; hr_one = 0.326987; ndcg_one = 0.178466
2021-12-15 19:57:10,686:INFO: model = topk_10_itemcf_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.002618; recall_one = 0.518543; hr_one = 0.518543; ndcg_one = 0.304311
2021-12-15 19:57:12,622:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.165641; recall_one = 0.664238; hr_one = 0.664238; ndcg_one = 0.409656
2021-12-15 19:57:18,988:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.092881; hr_one = 0.092881; ndcg_one = 0.042999
2021-12-15 19:57:22,862:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.092384; hr_one = 0.092384; ndcg_one = 0.042639
2021-12-15 19:57:24,263:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.092881; hr_one = 0.092881; ndcg_one = 0.042999
2021-12-15 19:57:29,945:INFO: model = topk_10_nmf_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.692607; recall_one = 0.088079; hr_one = 0.088079; ndcg_one = 0.038972
2021-12-15 19:57:36,339:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.165641; recall_one = 0.664238; hr_one = 0.664238; ndcg_one = 0.409656
2021-12-15 19:57:36,507:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.165641; recall_one = 0.664238; hr_one = 0.664238; ndcg_one = 0.409656
2021-12-15 19:57:37,888:INFO: model = topk_10_mfsvd_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 1.018004; recall_one = 0.666391; hr_one = 0.666391; ndcg_one = 0.411246
2021-12-15 19:57:41,305:INFO: model = topk_10_mfsvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 1.018004; recall_one = 0.666391; hr_one = 0.666391; ndcg_one = 0.411246
2021-12-15 19:58:01,735:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.092384; hr_one = 0.092384; ndcg_one = 0.042639
2021-12-15 21:01:13,990:INFO: model = topk_10_itemcf_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.002618; recall_one = 0.518543; hr_one = 0.518543; ndcg_one = 0.304311
2021-12-15 21:01:25,545:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.095695; hr_one = 0.095695; ndcg_one = 0.042798
2021-12-15 21:01:39,286:INFO: model = topk_10_itemcf_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.002618; recall_one = 0.518543; hr_one = 0.518543; ndcg_one = 0.304311
2021-12-15 21:02:02,809:INFO: model = topk_10_itemcf_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.002618; recall_one = 0.518543; hr_one = 0.518543; ndcg_one = 0.304311
2021-12-15 21:02:15,993:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.092881; hr_one = 0.092881; ndcg_one = 0.042999
2021-12-15 21:02:40,144:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 1.219626; test: logloss_one = 5.078055; recall_one = 0.450000; hr_one = 0.450000; ndcg_one = 0.247164
2021-12-15 21:03:27,971:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 2.023275; test: logloss_one = 0.604446; recall_one = 0.441722; hr_one = 0.441722; ndcg_one = 0.242160
2021-12-15 21:03:53,748:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 2; train_loss = 0.135237; test: logloss_one = 4.324337; recall_one = 0.450166; hr_one = 0.450166; ndcg_one = 0.247958
2021-12-15 21:04:07,038:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.165641; recall_one = 0.664238; hr_one = 0.664238; ndcg_one = 0.409656
2021-12-15 21:04:28,776:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.165641; recall_one = 0.664238; hr_one = 0.664238; ndcg_one = 0.409656
