2021-12-15 19:34:47,619:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099063; hr_one = 0.099063; ndcg_one = 0.044822
2021-12-15 19:34:48,055:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099063; hr_one = 0.099063; ndcg_one = 0.044822
2021-12-15 19:34:54,763:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099661; hr_one = 0.099661; ndcg_one = 0.045560
2021-12-15 19:34:55,443:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.097940; hr_one = 0.097940; ndcg_one = 0.044333
2021-12-15 19:34:59,359:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.097940; hr_one = 0.097940; ndcg_one = 0.044333
2021-12-15 19:34:59,364:INFO: model = topk_10_mfg_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.013300; recall_one = 0.150688; hr_one = 0.150688; ndcg_one = 0.075109
2021-12-15 19:35:00,006:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.302158; recall_one = 0.816261; hr_one = 0.816261; ndcg_one = 0.529664
2021-12-15 19:35:02,132:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.302158; recall_one = 0.816261; hr_one = 0.816261; ndcg_one = 0.529664
2021-12-15 19:35:02,783:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099661; hr_one = 0.099661; ndcg_one = 0.045560
2021-12-15 19:35:03,269:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.302158; recall_one = 0.816261; hr_one = 0.816261; ndcg_one = 0.529664
2021-12-15 19:35:04,218:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099063; hr_one = 0.099063; ndcg_one = 0.044822
2021-12-15 19:35:06,850:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099661; hr_one = 0.099661; ndcg_one = 0.045560
2021-12-15 19:35:14,004:INFO: model = topk_10_itemcf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.369822; recall_one = 0.877145; hr_one = 0.877145; ndcg_one = 0.560826
