2021-12-16 09:30:46,275:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099661; hr_one = 0.099661; ndcg_one = 0.045560
2021-12-16 09:30:48,459:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.097940; hr_one = 0.097940; ndcg_one = 0.044333
2021-12-16 09:30:49,273:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.097940; hr_one = 0.097940; ndcg_one = 0.044333
2021-12-16 09:30:53,065:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099063; hr_one = 0.099063; ndcg_one = 0.044822
2021-12-16 09:30:53,822:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.302158; recall_one = 0.816261; hr_one = 0.816261; ndcg_one = 0.529664
2021-12-16 09:30:53,843:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.097940; hr_one = 0.097940; ndcg_one = 0.044333
2021-12-16 09:30:54,363:INFO: model = topk_10_nmf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693371; recall_one = 0.100295; hr_one = 0.100295; ndcg_one = 0.045709
2021-12-16 09:30:55,666:INFO: model = topk_10_mfg_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.013300; recall_one = 0.150688; hr_one = 0.150688; ndcg_one = 0.075109
2021-12-16 09:31:00,072:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099063; hr_one = 0.099063; ndcg_one = 0.044822
2021-12-16 09:31:00,080:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099063; hr_one = 0.099063; ndcg_one = 0.044822
2021-12-16 09:31:01,992:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099661; hr_one = 0.099661; ndcg_one = 0.045560
2021-12-16 09:31:05,374:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.099661; hr_one = 0.099661; ndcg_one = 0.045560
2021-12-16 09:31:06,274:INFO: model = topk_10_itemcf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.369822; recall_one = 0.877145; hr_one = 0.877145; ndcg_one = 0.560826
2021-12-16 09:31:13,796:INFO: model = topk_10_itemcf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.369822; recall_one = 0.877145; hr_one = 0.877145; ndcg_one = 0.560826
2021-12-16 09:31:16,009:INFO: model = topk_10_itemcf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.369822; recall_one = 0.877145; hr_one = 0.877145; ndcg_one = 0.560826
2021-12-16 09:31:46,923:INFO: model = topk_10_nmf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693371; recall_one = 0.100295; hr_one = 0.100295; ndcg_one = 0.045709
2021-12-16 09:31:48,920:INFO: model = topk_10_nmf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693371; recall_one = 0.100295; hr_one = 0.100295; ndcg_one = 0.045709
2021-12-16 09:32:09,786:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 4.302158; recall_one = 0.816261; hr_one = 0.816261; ndcg_one = 0.529664
2021-12-16 09:32:25,348:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 3.085924; test: logloss_one = 0.129453; recall_one = 0.799844; hr_one = 0.799844; ndcg_one = 0.485693
2021-12-16 09:32:25,427:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 3.276272; test: logloss_one = 0.692891; recall_one = 0.123834; hr_one = 0.123834; ndcg_one = 0.056880
2021-12-16 09:32:25,864:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.421590; test: logloss_one = 0.142808; recall_one = 0.796184; hr_one = 0.796184; ndcg_one = 0.480688
2021-12-16 09:32:26,024:INFO: model = topk_10_mfg_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 1; train_loss = 0.214968; test: logloss_one = 3.732527; recall_one = 0.247015; hr_one = 0.247015; ndcg_one = 0.122839
